state,district,dem_cand,rep_cand,inc_seat,unopp,part_base,pr_dem,dem_mean,dem_q10,dem_q25,dem_q75,dem_q90
GA,12,L. JOHNSON,R. ALLEN,gop,0,0.42457,0.01362,0.41011,0.36164,0.38324,0.43451,0.45914
GA,13,D. SCOTT,C. GONZALES,dem,0,0.77497,1,0.75733,0.7179,0.73714,0.77862,0.79636
GA,14,M. FLOWERS,M. GREENE,gop,0,0.23793,0,0.24208,0.19546,0.21688,0.26447,0.29074
HI,1,E. CASE,C. KRESS,dem,0,0.62748,0.99933,0.66862,0.61695,0.64303,0.69606,0.7184
HI,2,J. TOKUDA,J. AKANA,open,0,0.63125,0.99665,0.63099,0.57608,0.60241,0.65991,0.68516
IA,1,C. BOHANNAN,M. MEEKS,gop,0,0.46266,0.11942,0.44669,0.38872,0.41638,0.47654,0.50397
IA,2,L. MATHIS,A. HINSON,gop,0,0.455,0.06429,0.42667,0.36619,0.39383,0.45898,0.48913
IA,3,C. AXNE,Z. NUNN,dem,0,0.47558,0.37254,0.48621,0.43044,0.45597,0.51543,0.54377
IA,4,R. MELTON,R. FEENSTRA,gop,0,0.34678,0.00112,0.33378,0.27901,0.30314,0.36133,0.39043
ID,1,K. PETERSON,R. FULCHER,gop,0,0.28498,0,0.2869,0.23943,0.26024,0.31185,0.33692
ID,2,W. NORMAN,M. SIMPSON,gop,0,0.36007,0.00201,0.3534,0.29971,0.32511,0.38022,0.40769
IL,1,J. JACKSON,E. CARLSON,open,0,0.695,0.99754,0.63461,0.57707,0.60525,0.66555,0.68964
IL,2,R. KELLY,T. LYNCH,dem,0,0.68651,0.99955,0.67438,0.62713,0.65059,0.69885,0.71963
IL,3,D. RAMIREZ,J. BURAU,open,0,0.69168,0.99933,0.65875,0.60257,0.62966,0.68893,0.7131
IL,4,J. GARCIA,J. FALAKOS,dem,0,0.71915,0.99978,0.71287,0.66597,0.69021,0.73738,0.75702
IL,5,M. QUIGLEY,T. HANSON,dem,0,0.68424,1,0.67886,0.63869,0.65809,0.69997,0.71775
IL,6,S. CASTEN,K. PEKAU,dem,0,0.53356,0.7471,0.52882,0.47386,0.49955,0.55798,0.58443
IL,7,DANNY DAVIS,,dem,1,0.85988,1,,,,,
IL,8,R. KRISHNAMOORTHI,C. DARGIS,dem,0,0.55662,0.77455,0.53232,0.47828,0.50322,0.56128,0.58708
IL,9,J. SCHAKOWSKY,M. RICE,dem,0,0.6904,0.99978,0.65278,0.60327,0.62712,0.67888,0.70167
IL,10,B. SCHNEIDER,J. SEVERINO,dem,0,0.61034,0.94107,0.56618,0.51296,0.53785,0.59385,0.61966
IL,11,B. FOSTER,C. LAUF,dem,0,0.55619,0.75313,0.52845,0.47398,0.50042,0.55784,0.58352
IL,12,H. MARKEL,M. BOST,gop,0,0.26491,0,0.27755,0.22885,0.25067,0.30282,0.32755
IL,13,N. BUDZINSKI,R. DEERING,open,0,0.53421,0.65067,0.52032,0.45726,0.48682,0.55297,0.58349
IL,14,L. UNDERWOOD,S. GRYDER,dem,0,0.53545,0.87076,0.55021,0.49304,0.52104,0.58023,0.6063
IL,15,P. LANGE,M. MILLER,gop,0,0.28354,0.00022,0.28556,0.23536,0.25724,0.3115,0.33829
IL,16,E. HADERLEIN,D. LAHOOD,gop,0,0.36989,0.00045,0.32245,0.26997,0.29381,0.34969,0.37805
IL,17,E. SORENSEN,E. KING,open,0,0.51597,0.44085,0.49329,0.4353,0.4616,0.52334,0.55111
IN,1,F. MRVAN,J. GREEN,dem,0,0.51986,0.76473,0.532,0.47276,0.50264,0.56261,0.58963
IN,2,P. STEURY,R. YAKYM,open,0,0.36359,0.00268,0.36545,0.30644,0.33354,0.39645,0.42489
IN,3,G. SNYDER,J. BANKS,gop,0,0.32688,0,0.31691,0.26527,0.28762,0.3443,0.37106
IN,4,R. DAY,J. BAIRD,gop,0,0.33044,0.00067,0.32816,0.27702,0.30033,0.3548,0.38045
IN,5,J. LAKE,V. SPARTZ,gop,0,0.39706,0.00647,0.38882,0.33698,0.36105,0.41525,0.44135
IN,6,C. WIRTH,G. PENCE,gop,0,0.31719,0.00045,0.31211,0.25883,0.2816,0.33916,0.3689
IN,7,A. CARSON,A. GRABOVSKY,dem,0,0.69768,0.99844,0.64607,0.59668,0.62172,0.6721,0.69539
IN,8,R. MCCORMICK,L. BUCSHON,gop,0,0.31288,0.00022,0.33343,0.28072,0.30442,0.36005,0.38722
IN,9,M. FYFE,E. HOUCHIN,open,0,0.33975,0.00067,0.34516,0.28644,0.31337,0.37594,0.40677
KS,1,J. BEARD,T. MANN,gop,0,0.32827,0.00067,0.32453,0.27062,0.29478,0.35168,0.38007
KS,2,P. SCHMIDT,J. LATURNER,gop,0,0.39488,0.01228,0.39179,0.33514,0.36146,0.41994,0.45046
KS,3,S. DAVIDS,A. ADKINS,dem,0,0.49996,0.55134,0.50458,0.45835,0.48038,0.52969,0.55155
KS,4,BOB HERNANDEZ,R. ESTES,gop,0,0.36741,0.00313,0.36646,0.3124,0.33543,0.39494,0.42222
KY,1,J. AUSBROOKS,J. COMER,gop,0,0.264,0.00022,0.28441,0.23432,0.25665,0.31007,0.33712
KY,2,H. LINDERMAN,B. GUTHRIE,gop,0,0.29355,0,0.27909,0.23778,0.25662,0.30042,0.32271
KY,3,M. MCGARVEY,S. RAY,open,0,0.59289,0.92946,0.57284,0.5111,0.54081,0.60536,0.63605
KY,4,M. LEHMAN,T. MASSIE,gop,0,0.31425,0,0.32397,0.27397,0.29555,0.34953,0.3767
KY,5,C. HALBLEIB,H. ROGERS,gop,0,0.18313,0,0.18674,0.14753,0.16385,0.20648,0.22821
KY,6,G. YOUNG,A. BARR,gop,0,0.42103,0.05335,0.42461,0.36667,0.39303,0.45408,0.48207
LA,1,K. DARLING,S. SCALISE,gop,0,0.28022,0,0.25424,0.20919,0.22896,0.27701,0.3014
LA,2,T. CARTER,D. LUX,dem,0,0.75137,0.99978,0.72991,0.68096,0.70452,0.75591,0.77802
LA,3,,,open,0,0.28932,0.00022,0.30508,0.26423,0.28277,0.32582,0.3468
LA,4,,,open,0,0.35669,0.00045,0.36615,0.32334,0.34307,0.38892,0.40937
