state,district,inc_seat,unopp,part_base,pr_dem,dem_mean,dem_q10,dem_q25,dem_q75,dem_q90
FL,22,dem,0,0.5669,0.9382,0.5637,0.5113,0.5368,0.5917,0.6156
FL,23,open,0,0.5442,0.7355,0.5263,0.4733,0.4982,0.5543,0.5806
FL,24,dem,0,0.7282,0.9995,0.7167,0.671,0.6954,0.7399,0.7607
FL,25,dem,0,0.5807,0.9625,0.5774,0.5256,0.5514,0.6048,0.6286
FL,26,gop,0,0.385,0.0018,0.3613,0.3086,0.3341,0.3873,0.414
FL,27,gop,0,0.4765,0.103,0.4455,0.3912,0.4174,0.473,0.5007
FL,28,gop,0,0.4454,0.023,0.4076,0.3557,0.3795,0.4341,0.4609
GA,1,gop,0,0.8534,1,0.8215,0.7845,0.8048,0.841,0.8565
GA,2,dem,0,0.4142,0.048,0.4273,0.3746,0.3997,0.4535,0.4821
GA,3,gop,0,0.7644,1,0.7255,0.681,0.7035,0.7491,0.7695
GA,4,dem,0,0.6026,0.9852,0.5977,0.5472,0.5717,0.6248,0.6478
GA,5,dem,0,0.4463,0.1145,0.4516,0.3974,0.4245,0.4795,0.5042
GA,6,open,0,0.2619,0,0.2623,0.2172,0.2374,0.2851,0.3108
GA,7,dem,0,0.3442,0.0015,0.3556,0.3048,0.3285,0.3816,0.4098
GA,8,gop,0,0.513,0.304,0.4798,0.4265,0.4535,0.5063,0.5314
GA,9,gop,0,0.3748,0.0018,0.3517,0.3024,0.3252,0.377,0.4034
GA,10,open,0,0.4109,0.0158,0.402,0.3473,0.3739,0.4293,0.4567
GA,11,gop,0,0.3421,0.0018,0.3228,0.2729,0.2961,0.3469,0.3741
GA,12,gop,0,0.4246,0.0132,0.3966,0.3448,0.3691,0.4229,0.4502
GA,13,dem,0,0.2379,5e-4,0.2528,0.208,0.2274,0.2742,0.3003
GA,14,gop,0,0.775,0.9998,0.7377,0.6919,0.7177,0.7603,0.7809
HI,1,dem,0,0.6275,0.9935,0.6131,0.5639,0.5868,0.6388,0.6624
HI,2,open,0,0.6312,0.987,0.6009,0.5497,0.5746,0.6282,0.6524
IA,1,gop,0,0.4627,0.0665,0.4379,0.3855,0.4111,0.4651,0.4907
IA,2,gop,0,0.455,0.0462,0.4281,0.3754,0.4008,0.4546,0.4809
IA,3,dem,0,0.4756,0.3825,0.4883,0.4346,0.4603,0.5154,0.5432
IA,4,gop,0,0.3468,0.001,0.3307,0.2808,0.304,0.3554,0.3814
ID,1,gop,0,0.285,3e-4,0.2641,0.2174,0.2385,0.2879,0.3122
ID,2,gop,0,0.3601,0.001,0.3316,0.2816,0.3052,0.3565,0.3837
IL,1,open,0,0.695,0.9985,0.6738,0.6284,0.6516,0.6984,0.7201
IL,2,dem,0,0.6865,0.9992,0.6812,0.6348,0.6587,0.7057,0.7265
IL,3,open,0,0.6917,0.999,0.6721,0.626,0.6489,0.6958,0.7178
